site_id,date,taxon_id,scientific_name,fish_total_length,n,total_fish_measured,increased,total_collected,area_m2,no,Species,Family,correction,total_fish_per_size,no_m2,species_a,species_b,BodyShapeI,family_a,family_b,a,b,fish_total_length_cm,grams
ARIK,2016-04-12,LEPCYA,Lepomis cyanellus,101,1,5,no,1,603.95825,1,Lepomis cyanellus,Centrarchidae,0.2,1,0.0016557435882364384,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,10.1,16.844024070343842
ARIK,2016-04-12,LEPCYA,Lepomis cyanellus,116,1,5,no,1,603.95825,1,Lepomis cyanellus,Centrarchidae,0.2,1,0.0016557435882364384,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,11.6,26.249653151127585
ARIK,2016-04-12,LEPCYA,Lepomis cyanellus,137,1,5,no,1,603.95825,1,Lepomis cyanellus,Centrarchidae,0.2,1,0.0016557435882364384,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,13.7,44.7355590437666
ARIK,2016-04-12,PIMPRO,Pimephales promelas,64,1,5,no,4,603.95825,4,Pimephales promelas,Cyprinidae,0.8,4,0.006622974352945754,0.0074,3.288,NA,0.0016,3.115,0.0074,3.288,6.4,3.310941246776812
ARIK,2016-04-12,PIMPRO,Pimephales promelas,67,1,5,no,4,603.95825,4,Pimephales promelas,Cyprinidae,0.8,4,0.006622974352945754,0.0074,3.288,NA,0.0016,3.115,0.0074,3.288,6.7,3.849157403144549
ARIK,2016-04-12,PIMPRO,Pimephales promelas,80,1,5,no,4,603.95825,4,Pimephales promelas,Cyprinidae,0.8,4,0.006622974352945754,0.0074,3.288,NA,0.0016,3.115,0.0074,3.288,8,6.8959101933554185
ARIK,2016-04-12,PIMPRO,Pimephales promelas,82,1,5,no,4,603.95825,4,Pimephales promelas,Cyprinidae,0.8,4,0.006622974352945754,0.0074,3.288,NA,0.0016,3.115,0.0074,3.288,8.2,7.479140062480786
ARIK,2016-04-12,PIMPRO,Pimephales promelas,84,1,5,no,4,603.95825,4,Pimephales promelas,Cyprinidae,0.8,4,0.006622974352945754,0.0074,3.288,NA,0.0016,3.115,0.0074,3.288,8.4,8.095841785589583
ARIK,2016-04-13,CAMANO,Campostoma anomalum,55,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,5.5,0.3238543690702299
ARIK,2016-04-13,CAMANO,Campostoma anomalum,60,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,6,0.4246793339943094
ARIK,2016-04-13,CAMANO,Campostoma anomalum,65,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,6.5,0.5449354843377656
ARIK,2016-04-13,CAMANO,Campostoma anomalum,76,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,7.6,0.8868584791332212
ARIK,2016-04-13,CAMANO,Campostoma anomalum,81,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,8.1,1.0815604964552021
ARIK,2016-04-13,CAMANO,Campostoma anomalum,82,2,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,8.2,1.1236993582366568
ARIK,2016-04-13,CAMANO,Campostoma anomalum,83,2,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,8.3,1.166939230721452
ARIK,2016-04-13,CAMANO,Campostoma anomalum,84,2,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,8.4,1.2112950953877297
ARIK,2016-04-13,CAMANO,Campostoma anomalum,86,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,8.6,1.3034148308221627
ARIK,2016-04-13,CAMANO,Campostoma anomalum,88,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,8.8,1.4001788279120158
ARIK,2016-04-13,CAMANO,Campostoma anomalum,90,2,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,9,1.50170767214757
ARIK,2016-04-13,CAMANO,Campostoma anomalum,91,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,9.1,1.5542966813871786
ARIK,2016-04-13,CAMANO,Campostoma anomalum,93,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,9.3,1.6631995828659547
ARIK,2016-04-13,CAMANO,Campostoma anomalum,94,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,9.4,1.719543815942514
ARIK,2016-04-13,CAMANO,Campostoma anomalum,95,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,9.5,1.7771701625610354
ARIK,2016-04-13,CAMANO,Campostoma anomalum,102,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,10.2,2.217734321780666
ARIK,2016-04-13,CAMANO,Campostoma anomalum,110,1,21,no,11,954.8292333333334,11,Campostoma anomalum,Cyprinidae,0.5238095238095238,11,0.01152038460489811,NA,NA,NA,0.0016,3.115,0.0016,3.115,11,2.8058096007008153
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,50,1,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5,1.072069695826058
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,54,1,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.4,1.356227646014119
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,56,2,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.6,1.5155981945409716
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,59,2,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.9,1.7775529741146967
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,60,3,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6,1.871206539885471
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,61,1,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.1,1.9681232993275544
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,62,5,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.2,2.0683606562791725
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,63,2,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.3,2.1719760663638996
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,64,2,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.4,2.279027036200865
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,65,4,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.5,2.3895711226393566
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,68,1,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.8,2.7427383880793212
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,70,2,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,7,2.9967062180153636
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,71,2,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,7.1,3.129420419998613
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,72,1,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,7.2,3.266031983314503
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,75,1,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,7.5,3.699830399286092
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,80,1,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,8,4.50619070081218
ARIK,2016-04-13,CYPSP3,Cyprinidae sp.,82,2,33,no,30,954.8292333333334,30,NA,NA,0.9090909090909091,30,0.03141923074063121,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,8.2,4.8592693840321335
ARIK,2016-04-13,ETHSP,Etheostoma sp.,38,1,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.8,0.4635627647706761
ARIK,2016-04-13,ETHSP,Etheostoma sp.,39,4,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.9,0.5018478076046956
ARIK,2016-04-13,ETHSP,Etheostoma sp.,40,6,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4,0.542204266019824
ARIK,2016-04-13,ETHSP,Etheostoma sp.,41,7,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.1,0.5846882133254754
ARIK,2016-04-13,ETHSP,Etheostoma sp.,42,1,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.2,0.6293558000003261
ARIK,2016-04-13,ETHSP,Etheostoma sp.,45,1,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.5,0.7770230217463
ARIK,2016-04-13,ETHSP,Etheostoma sp.,47,1,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.7,0.8874187748999343
ARIK,2016-04-13,ETHSP,Etheostoma sp.,50,1,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5,1.072069695826058
ARIK,2016-04-13,ETHSP,Etheostoma sp.,51,3,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.1,1.1389287204476157
ARIK,2016-04-13,ETHSP,Etheostoma sp.,52,2,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.2,1.2085367786228836
ARIK,2016-04-13,ETHSP,Etheostoma sp.,53,1,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.3,1.280950767891991
ARIK,2016-04-13,ETHSP,Etheostoma sp.,54,4,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.4,1.356227646014119
ARIK,2016-04-13,ETHSP,Etheostoma sp.,55,3,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.5,1.4344244298929685
ARIK,2016-04-13,ETHSP,Etheostoma sp.,56,3,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.6,1.5155981945409716
ARIK,2016-04-13,ETHSP,Etheostoma sp.,58,4,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.8,1.6871052507777489
ARIK,2016-04-13,ETHSP,Etheostoma sp.,59,2,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.9,1.7775529741146967
ARIK,2016-04-13,ETHSP,Etheostoma sp.,60,1,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6,1.871206539885471
ARIK,2016-04-13,ETHSP,Etheostoma sp.,61,2,47,no,6,954.8292333333334,6,NA,NA,0.1276595744680851,5.999999999999999,0.006283846148126241,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.1,1.9681232993275544
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,20,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2,0.0652403516870933
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,21,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.1,0.07572679947677141
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,22,3,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.2,0.0872912970482464
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,23,1,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.3,0.09998807234869768
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,24,1,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.4,0.11387148915467908
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,25,6,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.5,0.12899604147749358
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,26,3,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.6,0.14541634842330994
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,27,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.7,0.16318714945427001
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,28,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.8,0.18236330000502335
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,29,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,2.9,0.202999767415806
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,30,6,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3,0.22515162714867631
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,31,1,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.1,0.24887405925807798
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,32,1,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.2,0.27422234509070087
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,34,3,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.4,0.33001809140587623
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,35,6,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.5,0.3605765941337569
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,37,3,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.7,0.42729314324696294
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,38,3,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.8,0.4635627647706761
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,39,1,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,3.9,0.5018478076046956
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,40,10,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4,0.542204266019824
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,41,5,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.1,0.5846882133254754
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,42,7,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.2,0.6293558000003261
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,43,13,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.3,0.6762632519117554
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,44,5,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.4,0.7254668686178501
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,45,9,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.5,0.7770230217463
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,46,12,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.6,0.8309881534450403
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,47,7,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.7,0.8874187748999343
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,48,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.8,0.9463714649151969
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,49,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,4.9,1.007902868552632
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,50,3,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5,1.072069695826058
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,51,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.1,1.1389287204476157
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,52,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.2,1.2085367786228836
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,53,2,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,5.3,1.280950767891991
ARIK,2016-10-11,CYPSP3,Cyprinidae sp.,68,1,130,no,47,603.95825,47,NA,NA,0.36153846153846153,47,0.07781994864711261,NA,NA,NA,0.00785,3.0549999999999997,0.00785,3.0549999999999997,6.8,2.7427383880793212
ARIK,2016-10-11,LEPCYA,Lepomis cyanellus,24,1,45,no,9,603.95825,9,Lepomis cyanellus,Centrarchidae,0.2,9,0.014901692294127947,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,2.4,0.16857648349206242
ARIK,2016-10-11,LEPCYA,Lepomis cyanellus,25,2,45,no,9,603.95825,9,Lepomis cyanellus,Centrarchidae,0.2,9,0.014901692294127947,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,2.5,0.19213211324399843
ARIK,2016-10-11,LEPCYA,Lepomis cyanellus,26,1,45,no,9,603.95825,9,Lepomis cyanellus,Centrarchidae,0.2,9,0.014901692294127947,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,2.6,0.21785863522113974
ARIK,2016-10-11,LEPCYA,Lepomis cyanellus,27,4,45,no,9,603.95825,9,Lepomis cyanellus,Centrarchidae,0.2,9,0.014901692294127947,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,2.7,0.24586101608640176
ARIK,2016-10-11,LEPCYA,Lepomis cyanellus,28,1,45,no,9,603.95825,9,Lepomis cyanellus,Centrarchidae,0.2,9,0.014901692294127947,0.0102,3.204,NA,0.0121,3.093,0.0102,3.204,2.8,0.276245049673829
